Designator,Mid X,Mid Y,Rotation,Layer
D10,156.94375,-50.75625,0.0,top
D3,108.2675,-35.317016,0.0,top
D4,108.2675,-39.089758,0.0,top
D5,108.2675,-42.8625,0.0,top
D6,108.2675,-46.635242,0.0,top
D7,108.2675,-50.407984,0.0,top
D8,108.2675,-54.180726,0.0,top
D9,107.679268,-110.427697,0.0,top
J1,141.44,-62.0275,0.0,top
SW1,113.3475,-76.65,0.0,top
SW2,113.3475,-95.7,0.0,top
SW3,132.3975,-76.65,0.0,top
SW4,132.3975,-95.7,0.0,top
SW5,151.4475,-76.65,0.0,top
SW6,151.4475,-95.7,0.0,top
SW7,152.312488,-61.077414,0.0,top
U3,135.73125,-42.8625,0.0,top
